ProductSupplierID,ProductID,ProductName,ProductCategory,SupplierID,SupplierName,SupplierProductCode,WholesaleCost,MinOrderQuantity,MaxOrderQuantity,LeadTimeDays,Status,CreatedBy,CreatedDate
1,1521,Adventurer Pro Backpack,Camping,1,Contoso Ltd,CON-1521,146.92,1,,10,Active,system,2026-01-04
2,1521,Adventurer Pro Backpack,Camping,4,Worldwide Importers,WOR-1521,123.55,25,5000.0,20,Active,system,2025-12-23
3,1531,Summit Breeze Jacket,Camping,1,Contoso Ltd,CON-1531,116.89,5,10000.0,9,Active,system,2025-11-21
4,1531,Summit Breeze Jacket,Camping,4,Worldwide Importers,WOR-1531,109.09,10,5000.0,20,Active,system,2026-01-19
5,1541,TrekReady Hiking Boots,Camping,1,Contoso Ltd,CON-1541,138.03,1,1000.0,10,Active,system,2026-01-21
6,1551,BaseCamp Folding Table,Camping,1,Contoso Ltd,CON-1551,70.74,5,10000.0,12,Active,system,2025-11-26
7,1561,EcoFire Camping Stove,Camping,1,Contoso Ltd,CON-1561,79.83,50,1000.0,9,Active,system,2026-01-24
8,1561,EcoFire Camping Stove,Camping,4,Worldwide Importers,WOR-1561,101.04,1,500.0,26,Active,system,2026-01-27
9,1571,CozyNights Sleeping Bag,Camping,1,Contoso Ltd,CON-1571,112.92,50,10000.0,9,Active,system,2026-03-11
10,1511,Alpine Explorer Tent,Camping,1,Contoso Ltd,CON-1511,283.71,1,,11,Active,system,2025-11-23
11,1522,SummitClimber Backpack,Camping,1,Contoso Ltd,CON-1522,154.62,1,10000.0,13,Active,system,2025-12-01
12,1532,TrailBlaze Hiking Pants,Camping,1,Contoso Ltd,CON-1532,55.07,1,5000.0,12,Active,system,2025-11-30
13,1532,TrailBlaze Hiking Pants,Camping,4,Worldwide Importers,WOR-1532,66.11,1,500.0,24,Active,system,2025-12-03
14,1542,TrailWalker Hiking Shoes,Camping,1,Contoso Ltd,CON-1542,100.85,25,1000.0,10,Active,system,2026-01-14
15,1542,TrailWalker Hiking Shoes,Camping,4,Worldwide Importers,WOR-1542,96.47,50,2000.0,17,Active,system,2026-02-03
16,1552,TrekMaster Camping Chair,Camping,1,Contoso Ltd,CON-1552,53.09,1,1000.0,10,Active,system,2026-01-11
17,1562,PowerBurner Camping Stove,Camping,1,Contoso Ltd,CON-1562,151.59,10,,10,Active,system,2026-03-16
18,1562,PowerBurner Camping Stove,Camping,4,Worldwide Importers,WOR-1562,128.67,25,5000.0,18,Active,system,2025-11-24
19,1572,MountainDream Sleeping Bag,Camping,1,Contoso Ltd,CON-1572,200.54,5,5000.0,12,Active,system,2025-12-12
20,1572,MountainDream Sleeping Bag,Camping,4,Worldwide Importers,WOR-1572,242.39,25,5000.0,20,Active,system,2026-01-21
21,1512,SkyView 2-Person Tent,Camping,1,Contoso Ltd,CON-1512,250.75,25,,13,Active,system,2025-11-19
22,1523,TrailLite Daypack,Camping,1,Contoso Ltd,CON-1523,57.51,25,,10,Active,system,2026-02-22
23,1533,RainGuard Hiking Jacket,Camping,1,Contoso Ltd,CON-1533,102.19,50,10000.0,7,Active,system,2025-11-10
24,1533,RainGuard Hiking Jacket,Camping,4,Worldwide Importers,WOR-1533,141.92,10,2000.0,18,Active,system,2025-12-14
25,1543,TrekStar Hiking Sandals,Camping,1,Contoso Ltd,CON-1543,69.26,10,5000.0,8,Active,system,2025-11-07
26,1553,Adventure Dining Table,Camping,1,Contoso Ltd,CON-1553,107.37,10,1000.0,13,Active,system,2026-03-04
27,1563,CompactCook Camping Stove,Camping,1,Contoso Ltd,CON-1563,72.65,50,1000.0,9,Active,system,2026-02-22
28,1563,CompactCook Camping Stove,Camping,4,Worldwide Importers,WOR-1563,68.3,1,5000.0,26,Active,system,2026-01-04
29,1581,LED Headlamp - Rechargeable,Camping,1,Contoso Ltd,CON-1581,57.37,10,,12,Active,system,2026-02-18
30,2011,Coffee Maker,Kitchen,2,Proseware Inc,PRO-2011,121.2,5,1000.0,7,Active,system,2025-11-24
31,2012,Espresso Machine,Kitchen,2,Proseware Inc,PRO-2012,301.14,50,10000.0,9,Active,system,2025-11-14
32,2021,Chef Knife,Kitchen,2,Proseware Inc,PRO-2021,67.65,1,,9,Active,system,2026-01-04
33,2022,Fork Set,Kitchen,2,Proseware Inc,PRO-2022,33.76,25,10000.0,9,Active,system,2026-02-12
34,2031,Coffee Mug,Kitchen,2,Proseware Inc,PRO-2031,21.52,5,,9,Active,system,2025-11-15
35,2041,Serving Platter,Kitchen,2,Proseware Inc,PRO-2041,42.04,5,10000.0,8,Active,system,2025-12-05
36,2051,Ice Cream Bowl,Kitchen,2,Proseware Inc,PRO-2051,17.01,5,,7,Active,system,2026-01-31
37,2061,Mixing Bowl,Kitchen,2,Proseware Inc,PRO-2061,28.47,25,1000.0,12,Active,system,2025-12-28
38,2071,Baking Pan,Kitchen,2,Proseware Inc,PRO-2071,21.05,1,10000.0,11,Active,system,2026-01-14
39,2081,Food Storage Set,Kitchen,2,Proseware Inc,PRO-2081,21.64,5,10000.0,12,Active,system,2026-03-20
40,2091,Spatula,Kitchen,2,Proseware Inc,PRO-2091,8.18,5,,9,Active,system,2026-03-31
41,2101,Measuring Cup Set,Kitchen,2,Proseware Inc,PRO-2101,15.76,10,10000.0,11,Active,system,2026-02-12
42,2111,High-Speed Blender,Kitchen,2,Proseware Inc,PRO-2111,159.95,1,1000.0,11,Active,system,2026-01-13
43,2112,4-Slice Toaster,Kitchen,2,Proseware Inc,PRO-2112,62.81,1,,11,Active,system,2026-01-10
44,2121,Bamboo Cutting Board Set,Kitchen,2,Proseware Inc,PRO-2121,34.27,25,10000.0,10,Active,system,2026-03-02
45,2121,Bamboo Cutting Board Set,Kitchen,4,Worldwide Importers,WOR-2121,32.49,25,5000.0,20,Active,system,2025-12-19
46,3011,Alpine Pro Racing Skis - 170cm,Ski,3,Alpine Ski House,ALP-3011,975.95,1,,12,Active,system,2025-12-16
47,3012,Mountain Master All-Terrain Skis - 165cm,Ski,3,Alpine Ski House,ALP-3012,614.61,5,5000.0,12,Active,system,2026-01-13
48,3013,Beginner's Choice Alpine Skis - 160cm,Ski,3,Alpine Ski House,ALP-3013,356.62,50,10000.0,12,Active,system,2026-02-18
49,3021,Nordic Classic XC Skis - 185cm,Ski,3,Alpine Ski House,ALP-3021,264.82,10,1000.0,10,Active,system,2026-03-16
50,3022,Backcountry Explorer XC Skis - 190cm,Ski,3,Alpine Ski House,ALP-3022,335.53,10,1000.0,10,Active,system,2025-12-12
51,3022,Backcountry Explorer XC Skis - 190cm,Ski,5,Fabrikam,FAB-3022,409.2,1,500.0,9,Active,system,2026-01-31
52,3031,Pro Flex Racing Ski Boots,Ski,3,Alpine Ski House,ALP-3031,470.53,10,1000.0,9,Active,system,2026-02-06
53,3031,Pro Flex Racing Ski Boots,Ski,5,Fabrikam,FAB-3031,544.62,1,500.0,16,Active,system,2026-01-25
54,3032,Comfort Fit Recreational Boots,Ski,3,Alpine Ski House,ALP-3032,274.81,10,,14,Active,system,2025-12-28
55,3033,Women's Performance Ski Boots,Ski,3,Alpine Ski House,ALP-3033,441.66,50,,15,Active,system,2025-11-25
56,3041,Carbon Fiber Racing Poles - 120cm,Ski,3,Alpine Ski House,ALP-3041,116.83,10,5000.0,10,Active,system,2026-02-21
57,3041,Carbon Fiber Racing Poles - 120cm,Ski,4,Worldwide Importers,WOR-3041,118.33,1,,20,Active,system,2025-12-18
58,3042,Aluminum All-Mountain Poles - 115cm,Ski,3,Alpine Ski House,ALP-3042,70.32,5,1000.0,15,Active,system,2025-12-03
59,3051,Insulated Ski Jacket - Men's,Ski,3,Alpine Ski House,ALP-3051,213.71,50,1000.0,9,Active,system,2026-01-12
60,3051,Insulated Ski Jacket - Men's,Ski,5,Fabrikam,FAB-3051,210.41,10,500.0,12,Active,system,2026-01-15
61,3052,Thermal Base Layer Set - Women's,Ski,3,Alpine Ski House,ALP-3052,111.83,10,,11,Active,system,2025-11-24
62,3053,Waterproof Ski Pants,Ski,3,Alpine Ski House,ALP-3053,164.82,25,1000.0,13,Active,system,2026-02-15
63,3053,Waterproof Ski Pants,Ski,5,Fabrikam,FAB-3053,187.51,25,5000.0,11,Active,system,2025-12-10
64,3061,Professional Ski Helmet,Ski,3,Alpine Ski House,ALP-3061,128.53,10,,13,Active,system,2025-11-12
65,3062,Anti-Fog Ski Goggles,Ski,3,Alpine Ski House,ALP-3062,94.59,25,1000.0,15,Active,system,2026-01-31
66,3071,Ski Boot Bag - Premium,Ski,3,Alpine Ski House,ALP-3071,37.11,10,,11,Active,system,2026-02-05
67,3072,Hand Warmers - 10 Pack,Ski,3,Alpine Ski House,ALP-3072,9.14,1,10000.0,9,Active,system,2026-02-11
68,3081,All-Temp Ski Wax Kit,Ski,3,Alpine Ski House,ALP-3081,57.76,1,,10,Active,system,2025-12-18
69,3082,Edge Tuning Tool Set,Ski,3,Alpine Ski House,ALP-3082,87.59,1,5000.0,14,Active,system,2026-03-23
70,3091,Freestyle Snowboard - 155cm,Ski,3,Alpine Ski House,ALP-3091,507.61,25,10000.0,14,Active,system,2026-01-01
71,3091,Freestyle Snowboard - 155cm,Ski,5,Fabrikam,FAB-3091,541.99,10,5000.0,18,Active,system,2025-11-18
72,3092,All-Mountain Snowboard - 158cm,Ski,3,Alpine Ski House,ALP-3092,552.55,50,1000.0,14,Active,system,2026-03-30
73,3101,Winter Boots - Insulated,Ski,3,Alpine Ski House,ALP-3101,118.46,50,,14,Active,system,2026-03-25
74,3102,Winter Hiking Boots - Waterproof,Ski,3,Alpine Ski House,ALP-3102,167.7,25,5000.0,13,Active,system,2026-03-22
75,3103,Snowboard Bindings - Pro,Ski,3,Alpine Ski House,ALP-3103,204.82,5,,10,Active,system,2026-03-23
76,3103,Snowboard Bindings - Pro,Ski,4,Worldwide Importers,WOR-3103,211.02,50,500.0,19,Active,system,2025-11-29
77,3104,Ski Tuning Bench - Portable,Ski,3,Alpine Ski House,ALP-3104,141.49,25,1000.0,12,Active,system,2026-02-07
