InventoryID,ProductID,ProductName,WarehouseID,CurrentStock,ReservedStock,AvailableStock,SafetyStockLevel,ReorderPoint,MaxStockLevel,LastUpdated,AverageCost,Status,CreatedBy,CreatedDate
1,1521,Adventurer Pro Backpack,WH_200,669,74,595,154,193,1222,2026-12-29,118.65,Active,system,2026-07-28
2,1531,Summit Breeze Jacket,WH_200,723,104,619,166,214,774,2026-12-30,85.71,Active,system,2026-07-08
3,1541,TrekReady Hiking Boots,WH_500,48,8,40,101,168,473,2026-12-30,108.54,LowStock,system,2026-10-31
4,1551,BaseCamp Folding Table,WH_100,59,15,44,66,124,265,2026-12-30,56.2,LowStock,system,2026-08-17
5,1551,BaseCamp Folding Table,WH_200,25,0,25,66,124,265,2026-12-30,56.2,Active,system,2026-08-17
6,1561,EcoFire Camping Stove,WH_500,435,110,325,48,72,369,2026-12-29,79.86,Excess,system,2026-07-10
7,1561,EcoFire Camping Stove,WH_200,188,0,188,48,72,369,2026-12-29,79.86,Active,system,2026-07-10
8,1571,CozyNights Sleeping Bag,WH_200,282,69,213,66,122,263,2026-12-30,102.1,Excess,system,2026-10-08
9,1571,CozyNights Sleeping Bag,WH_200,83,0,83,66,122,263,2026-12-30,102.1,Active,system,2026-10-08
10,1511,Alpine Explorer Tent,WH_200,287,50,237,220,437,824,2026-12-29,285.12,Active,system,2026-10-14
11,1511,Alpine Explorer Tent,WH_200,135,0,135,220,437,824,2026-12-29,285.12,Active,system,2026-10-14
12,1522,SummitClimber Backpack,WH_200,671,116,555,123,206,627,2026-12-30,133.58,Excess,system,2026-08-16
13,1522,SummitClimber Backpack,WH_200,197,0,197,123,206,627,2026-12-30,133.58,Active,system,2026-08-16
14,1532,TrailBlaze Hiking Pants,WH_100,468,48,420,170,225,813,2026-12-30,54.8,Active,system,2026-11-04
15,1532,TrailBlaze Hiking Pants,WH_200,194,0,194,170,225,813,2026-12-30,54.8,Active,system,2026-11-04
16,1542,TrailWalker Hiking Shoes,WH_100,652,115,537,84,131,718,2026-12-30,83.67,Active,system,2026-07-24
17,1552,TrekMaster Camping Chair,WH_100,198,54,144,43,64,270,2026-12-30,45.98,Active,system,2026-11-09
18,1562,PowerBurner Camping Stove,WH_200,301,59,242,41,75,265,2026-12-30,112.81,Excess,system,2026-08-19
19,1572,MountainDream Sleeping Bag,WH_100,154,30,124,67,118,351,2026-12-30,177.25,Active,system,2026-10-28
20,1512,SkyView 2-Person Tent,WH_100,112,15,97,124,162,917,2026-12-29,204.38,LowStock,system,2026-07-29
21,1523,TrailLite Daypack,WH_200,485,98,387,221,416,819,2026-12-29,47.3,Active,system,2026-11-22
22,1533,RainGuard Hiking Jacket,WH_500,486,76,410,162,214,622,2026-12-30,107.78,Active,system,2026-08-08
23,1543,TrekStar Hiking Sandals,WH_200,312,34,278,116,199,819,2026-12-29,52.24,Active,system,2026-10-25
24,1543,TrekStar Hiking Sandals,WH_200,67,0,67,116,199,819,2026-12-29,52.24,Active,system,2026-10-25
25,1553,Adventure Dining Table,WH_100,69,17,52,72,110,455,2026-12-29,87.23,LowStock,system,2026-09-04
26,1553,Adventure Dining Table,WH_200,14,0,14,72,110,455,2026-12-29,87.23,Active,system,2026-09-04
27,1563,CompactCook Camping Stove,WH_100,27,4,23,42,72,264,2026-12-29,59.37,LowStock,system,2026-08-09
28,1581,LED Headlamp - Rechargeable,WH_100,250,28,222,23,43,212,2026-12-30,44.25,Excess,system,2026-08-03
29,1581,LED Headlamp - Rechargeable,WH_200,109,0,109,23,43,212,2026-12-30,44.25,Active,system,2026-08-03
30,2011,Coffee Maker,WH_500,411,100,311,123,236,835,2026-12-30,119.66,Active,system,2026-09-20
31,2012,Espresso Machine,WH_200,630,151,479,151,244,1031,2026-12-29,277.98,Active,system,2026-07-27
32,2021,Chef Knife,WH_500,64,16,48,102,153,654,2026-12-29,58.34,LowStock,system,2026-11-14
33,2022,Fork Set,WH_100,236,24,212,125,219,710,2026-12-29,28.69,Active,system,2026-10-06
34,2031,Coffee Mug,WH_500,626,169,457,89,157,811,2026-12-30,20.25,Active,system,2026-11-10
35,2041,Serving Platter,WH_100,521,146,375,135,167,614,2026-12-30,43.57,Active,system,2026-07-23
36,2051,Ice Cream Bowl,WH_100,442,87,355,51,90,524,2026-12-30,15.41,Active,system,2026-10-25
37,2061,Mixing Bowl,WH_200,267,71,196,72,128,392,2026-12-30,27.44,Active,system,2026-10-10
38,2071,Baking Pan,WH_100,159,40,119,77,107,565,2026-12-30,17.53,Active,system,2026-10-24
39,2071,Baking Pan,WH_200,66,0,66,77,107,565,2026-12-30,17.53,Active,system,2026-10-24
40,2081,Food Storage Set,WH_200,31,5,26,33,58,230,2026-12-30,23.0,LowStock,system,2026-09-11
41,2091,Spatula,WH_200,98,23,75,39,55,144,2026-12-29,7.38,Active,system,2026-11-12
42,2101,Measuring Cup Set,WH_200,145,18,127,40,65,215,2026-12-29,12.84,Active,system,2026-10-30
43,2111,High-Speed Blender,WH_200,90,18,72,39,73,142,2026-12-29,129.6,Active,system,2026-10-13
44,2112,4-Slice Toaster,WH_200,101,25,76,37,47,181,2026-12-30,57.27,Active,system,2026-08-03
45,2121,Bamboo Cutting Board Set,WH_100,111,18,93,25,44,238,2026-12-30,29.56,Active,system,2026-10-02
46,3011,Alpine Pro Racing Skis - 170cm,WH_100,9,2,7,3,5,30,2026-12-29,816.73,Active,system,2026-10-22
47,3012,Mountain Master All-Terrain Skis - 165cm,WH_200,1,0,1,2,3,8,2026-12-29,568.23,LowStock,system,2026-10-21
48,3013,Beginner's Choice Alpine Skis - 160cm,WH_100,5,0,5,2,3,10,2026-12-30,305.41,Active,system,2026-10-13
49,3021,Nordic Classic XC Skis - 185cm,WH_100,4,1,3,0,0,4,2026-12-29,229.72,Excess,system,2026-09-05
50,3022,Backcountry Explorer XC Skis - 190cm,WH_500,1,0,1,1,1,9,2026-12-30,372.58,LowStock,system,2026-09-22
51,3031,Pro Flex Racing Ski Boots,WH_100,4,0,4,1,1,7,2026-12-30,459.79,Active,system,2026-08-02
52,3032,Comfort Fit Recreational Boots,WH_100,19,5,14,2,3,26,2026-12-29,276.26,Active,system,2026-08-28
53,3033,Women's Performance Ski Boots,WH_200,9,1,8,2,3,14,2026-12-29,407.14,Active,system,2026-07-05
54,3041,Carbon Fiber Racing Poles - 120cm,WH_500,8,1,7,1,1,15,2026-12-29,114.35,Active,system,2026-09-18
