ProductSupplierID,ProductID,ProductName,SupplierID,SupplierProductCode,WholesaleCost,MinOrderQuantity,MaxOrderQuantity,LeadTimeDays,Status,CreatedBy,CreatedDate
1,1521,Adventurer Pro Backpack,1,CON-1521,122.8,5,10000,13,Active,system,12/21/2018
2,1531,Summit Breeze Jacket,1,CON-1531,91.09,1,10000,10,Active,system,11/17/2018
3,1541,TrekReady Hiking Boots,1,CON-1541,101.5,1,10000,8,Active,system,11/2/2018
4,1551,Adventure Daypack,1,CON-1551,56.55,3,10000,12,Active,system,1/1/2026
5,1561,Trail Explorer Hat,1,CON-1561,19.32,5,10000,5,Active,system,11/28/2018
6,1571,Wilderness Water Bottle,1,CON-1571,18.72,10,10000,9,Active,system,12/31/2018
7,1581,Survival Compass,1,CON-1581,27.36,3,10000,7,Active,system,11/10/2018
8,1591,Outdoor Flashlight,1,CON-1591,47.13,2,10000,11,Active,system,12/16/2018
9,1601,Camping Chair,1,CON-1601,84.24,1,10000,14,Active,system,11/9/2018
10,1611,Portable Tent,1,CON-1611,164.34,1,10000,6,Active,system,11/21/2018
11,1621,Nature Binoculars,1,CON-1621,136.95,1,10000,15,Active,system,11/15/2018
12,1631,Trail Mix Snacks,1,CON-1631,7.98,12,10000,4,Active,system,12/8/2018
13,1641,Adventure Map,1,CON-1641,13.44,8,10000,3,Active,system,12/11/2018
14,1651,Camping Stove,1,CON-1651,86.85,1,10000,10,Active,system,11/3/2018
15,1661,Sleeping Bag,1,CON-1661,112.59,1,10000,16,Active,system,1/5/2026
16,1671,Hiking Poles,1,CON-1671,68.94,2,10000,9,Active,system,12/29/2018
17,1681,Emergency Whistle,1,CON-1681,8.58,10,10000,2,Active,system,11/26/2018
18,1691,Outdoor Cooler,1,CON-1691,97.35,1,10000,13,Active,system,12/4/2018
19,1701,Insect Repellent,1,CON-1701,12.54,6,10000,5,Active,system,12/18/2018
20,1711,Portable Grill,1,CON-1711,139.32,1,10000,12,Active,system,11/19/2018
21,2522,Pro Chef Knife Set,2,PRO-2522,97.5,1,10000,7,Active,system,12/9/2018
22,2532,Silicone Baking Mats,2,PRO-2532,23.4,5,10000,5,Active,system,11/14/2018
