TransactionID,ProductID,ProductName,ProductCategory,WarehouseLocation,TransactionType,TransactionDate,Quantity,UnitCost,TotalValue,ReferenceNumber,ReasonCode,StockBefore,StockAfter,ProcessedBy,Notes,CreatedBy,CreatedDate
1,3012,Mountain Master All-Terrain Skis - 165cm,Ski,Main,Receipt,2025-10-03,185,584.78,108184.79,PO-4971,Purchase Order Receipt,49,234,warehouse2,Transaction processed for Main location,system,2025-10-03
2,3042,Aluminum All-Mountain Poles - 115cm,Ski,Backup,Receipt,2025-11-08,165,73.1,12062.32,PO-4755,Purchase Order Receipt,86,251,warehouse1,Transaction processed for Backup location,system,2025-11-08
3,3082,Edge Tuning Tool Set,Ski,Main,Sale,2026-03-17,-25,87.59,-2189.75,SO-28535,Customer Sale,48,23,warehouse1,Transaction processed for Main location,system,2026-03-17
4,1562,PowerBurner Camping Stove,Camping,Main,Sale,2026-01-31,-6,140.13,-840.78,SO-55944,Customer Sale,106,100,warehouse1,Transaction processed for Main location,system,2026-01-31
5,3042,Aluminum All-Mountain Poles - 115cm,Ski,Backup,Sale,2026-02-09,-25,70.32,-1758.0,SO-61002,Customer Sale,50,25,warehouse2,Transaction processed for Backup location,system,2026-02-09
6,1572,MountainDream Sleeping Bag,Camping,Regional,Sale,2025-11-26,-42,221.46,-9301.32,SO-98099,Customer Sale,28,-14,warehouse2,Transaction processed for Regional location,system,2025-11-26
7,2011,Coffee Maker,Kitchen,Main,Sale,2026-02-15,-11,121.2,-1333.2,SO-56933,Customer Sale,149,138,system,Transaction processed for Main location,system,2026-02-15
8,1543,TrekStar Hiking Sandals,Camping,Backup,Sale,2025-11-27,-33,69.26,-2285.58,SO-18246,Customer Sale,50,17,warehouse1,Transaction processed for Backup location,system,2025-11-27
9,1521,Adventurer Pro Backpack,Camping,Main,Sale,2025-12-12,-36,135.23,-4868.28,SO-77533,Customer Sale,306,270,system,Transaction processed for Main location,system,2025-12-12
10,2012,Espresso Machine,Kitchen,Main,Return,2026-02-01,3,240.91,722.74,RET-36876,Customer Return,54,57,warehouse1,Transaction processed for Main location,system,2026-02-01
11,1531,Summit Breeze Jacket,Camping,Backup,Sale,2025-08-10,-13,112.99,-1468.87,SO-65013,Customer Sale,38,25,system,Transaction processed for Backup location,system,2025-08-10
12,3011,Alpine Pro Racing Skis - 170cm,Ski,Backup,Sale,2025-07-27,-41,975.95,-40013.95,SO-77919,Customer Sale,164,123,system,Transaction processed for Backup location,system,2025-07-27
13,2022,Fork Set,Kitchen,Main,Receipt,2025-12-15,92,32.24,2966.06,PO-7410,Purchase Order Receipt,125,217,system,Transaction processed for Main location,system,2025-12-15
14,3041,Carbon Fiber Racing Poles - 120cm,Ski,Main,Sale,2026-02-13,-46,117.58,-5408.68,SO-71548,Customer Sale,208,162,warehouse1,Transaction processed for Main location,system,2026-02-13
15,3092,All-Mountain Snowboard - 158cm,Ski,Regional,Transfer,2026-03-25,-26,552.55,-14366.3,TRF-7854,Warehouse Transfer,78,52,warehouse2,Transaction processed for Regional location,system,2026-03-25
16,3032,Comfort Fit Recreational Boots,Ski,Backup,Receipt,2025-11-17,177,269.48,47698.33,PO-5233,Purchase Order Receipt,44,221,system,Transaction processed for Backup location,system,2025-11-17
17,1572,MountainDream Sleeping Bag,Camping,Regional,Sale,2025-11-10,-28,221.46,-6200.88,SO-11091,Customer Sale,33,5,warehouse1,Transaction processed for Regional location,system,2025-11-10
18,3033,Women's Performance Ski Boots,Ski,Main,Transfer,2025-08-05,-26,441.66,-11483.16,TRF-2577,Warehouse Transfer,63,37,warehouse2,Transaction processed for Main location,system,2025-08-05
19,1562,PowerBurner Camping Stove,Camping,Backup,Damage,2026-01-30,-9,140.13,-1261.17,DMG-19,Quality Issue,9,0,system,Transaction processed for Backup location,system,2026-01-30
20,1543,TrekStar Hiking Sandals,Camping,Backup,Sale,2025-08-26,-8,69.26,-554.08,SO-66306,Customer Sale,96,88,warehouse1,Transaction processed for Backup location,system,2025-08-26
21,2061,Mixing Bowl,Kitchen,Backup,Transfer,2025-07-11,-30,28.47,-854.1,TRF-3445,Warehouse Transfer,150,120,system,Transaction processed for Backup location,system,2025-07-11
22,3101,Winter Boots - Insulated,Ski,Backup,Adjustment,2026-01-28,9,118.46,1066.14,ADJ-22,System Correction,64,73,warehouse2,Transaction processed for Backup location,system,2026-01-28
23,3103,Snowboard Bindings - Pro,Ski,Backup,Receipt,2025-11-01,160,207.38,33181.12,PO-7082,Purchase Order Receipt,25,185,system,Transaction processed for Backup location,system,2025-11-01
24,2091,Spatula,Kitchen,Backup,Return,2026-03-14,5,6.54,32.72,RET-10220,Customer Return,62,67,warehouse1,Transaction processed for Backup location,system,2026-03-14
25,2091,Spatula,Kitchen,Backup,Adjustment,2026-01-15,-17,8.18,-139.06,ADJ-25,Cycle Count,94,77,warehouse1,Transaction processed for Backup location,system,2026-01-15
26,3052,Thermal Base Layer Set - Women's,Ski,Main,Sale,2026-02-02,-35,111.83,-3914.05,SO-93754,Customer Sale,108,73,system,Transaction processed for Main location,system,2026-02-02
27,1531,Summit Breeze Jacket,Camping,Backup,Adjustment,2025-08-21,13,112.99,1468.87,ADJ-27,System Correction,59,72,warehouse1,Transaction processed for Backup location,system,2025-08-21
28,2022,Fork Set,Kitchen,Main,Transfer,2026-02-23,-22,33.76,-742.72,TRF-8167,Warehouse Transfer,13,-9,system,Transaction processed for Main location,system,2026-02-23
29,3031,Pro Flex Racing Ski Boots,Ski,Main,Sale,2025-08-11,-14,507.58,-7106.12,SO-81030,Customer Sale,59,45,system,Transaction processed for Main location,system,2025-08-11
30,1551,BaseCamp Folding Table,Camping,Main,Receipt,2025-11-01,165,72.36,11939.44,PO-3163,Purchase Order Receipt,85,250,warehouse1,Transaction processed for Main location,system,2025-11-01
31,1553,Adventure Dining Table,Camping,Backup,Receipt,2025-11-21,147,105.79,15551.67,PO-5918,Purchase Order Receipt,88,235,system,Transaction processed for Backup location,system,2025-11-21
