TransactionID,ProductID,ProductName,WarehouseID,TransactionType,TransactionDate,Quantity,UnitCost,TotalValue,ReferenceNumber,ReasonCode,StockBefore,StockAfter,ProcessedBy,Notes,CreatedBy,CreatedDate
1,2111,High-Speed Blender,WH_100,Sale,2025-08-17,-8,142.34,1138.72,SO-98237,Customer Sale,846,838,System,Transaction processed for WH_100 location,system,2025-08-17
2,1552,TrekMaster Camping Chair,WH_200,Transfer,2026-03-16,-32,51.85,1659.2,TRF-5779,Warehouse Transfer,189,157,System,Transaction processed for WH_200 location,system,2026-03-16
3,1543,TrekStar Hiking Sandals,WH_200,Transfer,2025-08-23,-39,63.22,2465.58,TRF-8427,Warehouse Transfer,42,3,System,Transaction processed for WH_200 location,system,2025-08-23
4,3032,Comfort Fit Recreational Boots,WH_100,Transfer,2026-03-12,-5,264.98,1324.9,TRF-4831,Warehouse Transfer,6,1,System,Transaction processed for WH_100 location,system,2026-03-12
5,1511,Alpine Explorer Tent,WH_200,Receipt,2025-11-27,145,329.12,47722.44,PO-6541,Purchase Order Receipt,1488,1633,System,Transaction processed for WH_200 location,system,2025-11-27
6,2031,Coffee Mug,WH_200,Adjustment,2025-08-15,-17,22.64,384.88,ADJ-6,Cycle Count,3171,3154,System,Transaction processed for WH_200 location,system,2025-08-15
7,3103,Snowboard Bindings - Pro,WH_100,Receipt,2025-10-30,88,229.02,20153.75,PO-6693,Purchase Order Receipt,50,138,System,Transaction processed for WH_100 location,system,2025-10-30
8,1512,SkyView 2-Person Tent,WH_200,Sale,2025-12-08,-44,218.0,9592.0,SO-32890,Customer Sale,574,530,System,Transaction processed for WH_200 location,system,2025-12-08
9,1533,RainGuard Hiking Jacket,WH_100,Return,2025-11-21,5,89.3,446.48,RET-18031,Customer Return,612,617,System,Transaction processed for WH_100 location,system,2025-11-21
10,2041,Serving Platter,WH_200,Sale,2026-02-25,-45,44.8,2016.0,SO-22354,Customer Sale,1084,1039,System,Transaction processed for WH_200 location,system,2026-02-25
11,3104,Ski Tuning Bench - Portable,WH_500,Return,2025-11-21,1,102.08,102.08,RET-66900,Customer Return,97,98,System,Transaction processed for WH_500 location,system,2025-11-21
12,2091,Spatula,WH_100,Sale,2025-10-23,-9,9.02,81.18,SO-78044,Customer Sale,1159,1150,System,Transaction processed for WH_100 location,system,2025-10-23
13,1563,CompactCook Camping Stove,WH_500,Receipt,2026-01-30,50,70.85,3542.58,PO-9729,Purchase Order Receipt,25,75,System,Transaction processed for WH_500 location,system,2026-01-30
14,1542,TrailWalker Hiking Shoes,WH_200,Sale,2025-08-11,-6,92.42,554.52,SO-54079,Customer Sale,185,179,System,Transaction processed for WH_200 location,system,2025-08-11
15,3022,Backcountry Explorer XC Skis - 190cm,WH_200,Sale,2026-03-19,-48,404.3,19406.4,SO-72154,Customer Sale,69,21,System,Transaction processed for WH_200 location,system,2026-03-19
16,2021,Chef Knife,WH_200,Receipt,2025-11-20,86,64.74,5567.96,PO-3238,Purchase Order Receipt,3112,3198,System,Transaction processed for WH_200 location,system,2025-11-20
17,1523,TrailLite Daypack,WH_100,Sale,2025-08-30,-42,57.69,2422.98,SO-77321,Customer Sale,641,599,System,Transaction processed for WH_100 location,system,2025-08-30
18,2061,Mixing Bowl,WH_100,Receipt,2026-01-01,172,29.55,5082.67,PO-6275,Purchase Order Receipt,1986,2158,System,Transaction processed for WH_100 location,system,2026-01-01
19,1531,Summit Breeze Jacket,WH_200,Receipt,2025-07-20,198,94.46,18703.97,PO-2003,Purchase Order Receipt,105,303,System,Transaction processed for WH_200 location,system,2025-07-20
20,1521,Adventurer Pro Backpack,WH_200,Transfer,2026-02-26,-40,121.78,4871.2,TRF-6393,Warehouse Transfer,715,675,System,Transaction processed for WH_200 location,system,2026-02-26
21,1521,Adventurer Pro Backpack,WH_200,Receipt,2026-01-08,126,125.63,15828.98,PO-3189,Purchase Order Receipt,793,919,System,Transaction processed for WH_200 location,system,2026-01-08
22,3022,Backcountry Explorer XC Skis - 190cm,WH_100,Receipt,2026-03-17,28,399.72,11192.28,PO-6229,Purchase Order Receipt,16,44,System,Transaction processed for WH_100 location,system,2026-03-17
23,2101,Measuring Cup Set,WH_200,Adjustment,2025-08-08,10,13.02,130.2,ADJ-23,Physical Count,24,34,System,Transaction processed for WH_200 location,system,2025-08-08
24,3022,Backcountry Explorer XC Skis - 190cm,WH_100,Sale,2025-08-25,-6,404.3,2425.8,SO-42841,Customer Sale,52,46,System,Transaction processed for WH_100 location,system,2025-08-25
25,2041,Serving Platter,WH_200,Adjustment,2025-09-03,0,44.8,0.0,ADJ-25,System Correction,1223,1223,System,Transaction processed for WH_200 location,system,2025-09-03
26,3092,All-Mountain Snowboard - 158cm,WH_100,Receipt,2026-02-04,59,560.98,33098.01,PO-9534,Purchase Order Receipt,40,99,System,Transaction processed for WH_100 location,system,2026-02-04
27,3081,All-Temp Ski Wax Kit,WH_200,Adjustment,2026-02-20,-1,59.66,59.66,ADJ-27,Cycle Count,13,12,System,Transaction processed for WH_200 location,system,2026-02-20
28,1551,BaseCamp Folding Table,WH_500,Transfer,2025-09-06,-37,56.14,2077.18,TRF-5423,Warehouse Transfer,289,252,System,Transaction processed for WH_500 location,system,2025-09-06
29,3101,Winter Boots - Insulated,WH_200,Sale,2026-03-18,-9,119.75,1077.75,SO-11720,Customer Sale,12,3,System,Transaction processed for WH_200 location,system,2026-03-18
30,2111,High-Speed Blender,WH_200,Return,2026-02-20,4,113.87,455.49,RET-94936,Customer Return,224,228,System,Transaction processed for WH_200 location,system,2026-02-20
31,1542,TrailWalker Hiking Shoes,WH_200,Damage,2026-01-06,-7,92.42,646.94,DMG-31,Quality Issue,95,88,System,Transaction processed for WH_200 location,system,2026-01-06
32,2071,Baking Pan,WH_200,Sale,2026-02-11,-41,20.64,846.24,SO-90882,Customer Sale,352,311,System,Transaction processed for WH_200 location,system,2026-02-11
33,3011,Alpine Pro Racing Skis - 170cm,WH_200,Damage,2026-04-28,-10,904.82,9048.2,DMG-33,Quality Issue,15,5,System,Transaction processed for WH_200 location,system,2026-04-28
34,2022,Fork Set,WH_100,Adjustment,2025-10-17,19,33.74,641.06,ADJ-34,Physical Count,250,269,System,Transaction processed for WH_100 location,system,2025-10-17
35,3032,Comfort Fit Recreational Boots,WH_100,Return,2025-11-30,1,211.98,211.98,RET-62658,Customer Return,74,75,System,Transaction processed for WH_100 location,system,2025-11-30
36,2022,Fork Set,WH_100,Sale,2025-11-19,-47,33.74,1585.78,SO-63728,Customer Sale,296,249,System,Transaction processed for WH_100 location,system,2025-11-19
37,2061,Mixing Bowl,WH_100,Sale,2025-09-16,-46,29.7,1366.2,SO-87381,Customer Sale,1987,1941,System,Transaction processed for WH_100 location,system,2025-09-16
38,3081,All-Temp Ski Wax Kit,WH_200,Sale,2025-07-03,-34,59.66,2028.44,SO-41565,Customer Sale,133,99,System,Transaction processed for WH_200 location,system,2025-07-03
39,2091,Spatula,WH_200,Adjustment,2025-12-18,-2,9.02,18.04,ADJ-39,Cycle Count,570,568,System,Transaction processed for WH_200 location,system,2025-12-18
40,3061,Professional Ski Helmet,WH_200,Transfer,2025-10-23,-10,138.78,1387.8,TRF-7370,Warehouse Transfer,64,54,System,Transaction processed for WH_200 location,system,2025-10-23
