InventoryID,ProductID,ProductName,ProductCategory,WarehouseLocation,CurrentStock,ReservedStock,AvailableStock,SafetyStockLevel,ReorderPoint,MaxStockLevel,LastUpdated,AverageCost,Status,CreatedBy,CreatedDate
1,1521,Adventurer Pro Backpack,Camping,Backup,34,8,26,32,41,183,2026-04-28 05:00:00,136.04,Active,system,2026-02-09 00:00:00
2,1531,Summit Breeze Jacket,Camping,Main,80,20,60,16,19,124,2026-04-28 13:00:00,115.5,Active,system,2026-02-14 00:00:00
3,1541,TrekReady Hiking Boots,Camping,Main,21,5,16,5,7,38,2026-04-29 20:00:00,137.14,Active,system,2026-03-13 00:00:00
4,1551,BaseCamp Folding Table,Camping,Main,33,8,25,12,15,52,2026-04-29 14:00:00,64.58,Active,system,2026-03-03 00:00:00
5,1561,EcoFire Camping Stove,Camping,Main,18,3,15,25,47,172,2026-04-28 04:00:00,95.91,LowStock,system,2026-01-27 00:00:00
6,1571,CozyNights Sleeping Bag,Camping,Main,142,26,116,23,45,220,2026-04-29 11:00:00,124.47,Active,system,2025-12-04 00:00:00
7,1511,Alpine Explorer Tent,Camping,Main,128,24,104,36,71,183,2026-04-28 23:00:00,339.44,Active,system,2025-10-11 00:00:00
8,1522,SummitClimber Backpack,Camping,Main,86,11,75,15,26,109,2026-04-28 07:00:00,162.63,Active,system,2026-02-01 00:00:00
9,1532,TrailBlaze Hiking Pants,Camping,Main,56,12,44,14,27,86,2026-04-29 15:00:00,56.42,Active,system,2026-03-20 00:00:00
10,1542,TrailWalker Hiking Shoes,Camping,Main,72,20,52,8,13,67,2026-04-29 06:00:00,99.72,Excess,system,2026-01-05 00:00:00
11,1552,TrekMaster Camping Chair,Camping,Main,1,0,1,36,50,241,2026-04-29 17:00:00,58.87,LowStock,system,2025-12-29 00:00:00
12,1552,TrekMaster Camping Chair,Camping,Backup,0,0,0,36,50,241,2026-04-29 17:00:00,58.87,OutOfStock,system,2025-12-29 00:00:00
13,1562,PowerBurner Camping Stove,Camping,Main,7,0,7,13,21,89,2026-04-29 20:00:00,144.13,LowStock,system,2026-02-21 00:00:00
14,1572,MountainDream Sleeping Bag,Camping,Main,33,5,28,4,5,32,2026-04-29 11:00:00,214.68,Excess,system,2025-10-31 00:00:00
15,1572,MountainDream Sleeping Bag,Camping,Backup,15,0,15,4,5,32,2026-04-29 11:00:00,214.68,Active,system,2025-10-31 00:00:00
16,1512,SkyView 2-Person Tent,Camping,Main,55,10,45,27,33,239,2026-04-28 08:00:00,230.52,Active,system,2026-03-23 00:00:00
17,1523,TrailLite Daypack,Camping,Regional,46,6,40,13,18,77,2026-04-28 10:00:00,55.7,Active,system,2026-03-15 00:00:00
18,1533,RainGuard Hiking Jacket,Camping,Main,72,9,63,26,48,94,2026-04-29 20:00:00,107.45,Active,system,2026-01-28 00:00:00
19,1543,TrekStar Hiking Sandals,Camping,Main,87,15,72,25,41,135,2026-04-29 12:00:00,62.06,Active,system,2026-03-18 00:00:00
20,1543,TrekStar Hiking Sandals,Camping,Backup,25,0,25,25,41,135,2026-04-29 12:00:00,62.06,Active,system,2026-03-18 00:00:00
21,1553,Adventure Dining Table,Camping,Main,24,4,20,7,11,56,2026-04-29 15:00:00,117.42,Active,system,2026-01-26 00:00:00
22,1553,Adventure Dining Table,Camping,Backup,8,0,8,7,11,56,2026-04-29 15:00:00,117.42,Active,system,2026-01-26 00:00:00
23,1563,CompactCook Camping Stove,Camping,Backup,87,19,68,12,20,113,2026-04-29 20:00:00,69.74,Active,system,2025-10-08 00:00:00
24,1581,LED Headlamp - Rechargeable,Camping,Main,24,5,19,5,6,28,2026-04-29 18:00:00,49.85,Active,system,2026-01-12 00:00:00
25,1581,LED Headlamp - Rechargeable,Camping,Backup,6,0,6,5,6,28,2026-04-29 18:00:00,49.85,Active,system,2026-01-12 00:00:00
26,2011,Coffee Maker,Kitchen,Regional,58,9,49,12,15,66,2026-04-28 18:00:00,140.25,Active,system,2026-02-08 00:00:00
27,2011,Coffee Maker,Kitchen,Backup,19,0,19,12,15,66,2026-04-28 18:00:00,140.25,Active,system,2026-02-08 00:00:00
28,2012,Espresso Machine,Kitchen,Regional,136,31,105,26,50,140,2026-04-29 18:00:00,317.94,Active,system,2025-10-03 00:00:00
29,2021,Chef Knife,Kitchen,Main,59,13,46,15,24,105,2026-04-29 00:00:00,68.2,Active,system,2025-11-08 00:00:00
30,2022,Fork Set,Kitchen,Main,44,11,33,12,17,67,2026-04-28 07:00:00,27.71,Active,system,2026-03-13 00:00:00
31,2022,Fork Set,Kitchen,Backup,14,0,14,12,17,67,2026-04-28 07:00:00,27.71,Active,system,2026-03-13 00:00:00
32,2031,Coffee Mug,Kitchen,Main,51,5,46,25,48,261,2026-04-28 18:00:00,22.95,Active,system,2026-01-27 00:00:00
33,2041,Serving Platter,Kitchen,Main,54,15,39,28,47,156,2026-04-28 15:00:00,47.72,Active,system,2026-03-12 00:00:00
34,2041,Serving Platter,Kitchen,Backup,21,0,21,28,47,156,2026-04-28 15:00:00,47.72,Active,system,2026-03-12 00:00:00
35,2051,Ice Cream Bowl,Kitchen,Main,169,37,132,15,19,143,2026-04-29 17:00:00,18.2,Excess,system,2025-10-12 00:00:00
36,2051,Ice Cream Bowl,Kitchen,Backup,45,0,45,15,19,143,2026-04-29 17:00:00,18.2,Active,system,2025-10-12 00:00:00
37,2061,Mixing Bowl,Kitchen,Main,1,0,1,9,13,65,2026-04-28 05:00:00,29.43,LowStock,system,2025-10-09 00:00:00
38,2061,Mixing Bowl,Kitchen,Backup,0,0,0,9,13,65,2026-04-28 05:00:00,29.43,OutOfStock,system,2025-10-09 00:00:00
39,2071,Baking Pan,Kitchen,Main,5,0,5,14,18,121,2026-04-29 03:00:00,20.64,LowStock,system,2025-12-23 00:00:00
40,2081,Food Storage Set,Kitchen,Main,24,2,22,25,32,196,2026-04-28 09:00:00,23.5,LowStock,system,2025-10-08 00:00:00
41,2091,Spatula,Kitchen,Main,114,15,99,10,18,98,2026-04-29 07:00:00,10.11,Excess,system,2026-03-11 00:00:00
42,2101,Measuring Cup Set,Kitchen,Main,26,5,21,26,37,108,2026-04-29 11:00:00,14.67,LowStock,system,2025-11-02 00:00:00
43,2101,Measuring Cup Set,Kitchen,Backup,8,0,8,26,37,108,2026-04-29 11:00:00,14.67,Active,system,2025-11-02 00:00:00
44,2111,High-Speed Blender,Kitchen,Main,47,9,38,10,18,85,2026-04-29 12:00:00,124.43,Active,system,2026-03-30 00:00:00
45,2111,High-Speed Blender,Kitchen,Backup,22,0,22,10,18,85,2026-04-29 12:00:00,124.43,Active,system,2026-03-30 00:00:00
