InventoryID,ProductID,ProductName,ProductCategory,WarehouseLocation,CurrentStock,ReservedStock,AvailableStock,SafetyStockLevel,ReorderPoint,MaxStockLevel,LastUpdated,AverageCost,Status,CreatedBy,CreatedDate
1,1521,Adventurer Pro Backpack,Camping,WH_100,26,5,21,7,10,64,2026-04-29,122.8,Active,system,2025-07-11
2,1521,Adventurer Pro Backpack,Camping,Backup,7,0,7,7,10,64,2026-04-29,122.8,Active,system,2025-07-11
3,1531,Summit Breeze Jacket,Camping,WH_100,34,9,25,33,42,185,2026-04-28,91.09,Active,system,2025-07-25
4,1531,Summit Breeze Jacket,Camping,Backup,7,0,7,33,42,185,2026-04-28,91.09,Active,system,2025-07-25
5,1541,TrekReady Hiking Boots,Camping,WH_100,50,9,41,36,67,140,2026-04-28,132.59,Active,system,2025-07-26
6,1541,TrekReady Hiking Boots,Camping,Backup,12,0,12,36,67,140,2026-04-28,132.59,Active,system,2025-07-26
7,1551,BaseCamp Folding Table,Camping,WH_100,15,1,14,31,49,130,2026-04-29,67.04,LowStock,system,2025-09-20
8,1551,BaseCamp Folding Table,Camping,Backup,4,0,4,31,49,130,2026-04-29,67.04,Active,system,2025-09-20
9,1561,EcoFire Camping Stove,Camping,WH_100,30,3,27,16,29,140,2026-04-28,82.06,Active,system,2025-10-26
10,1561,EcoFire Camping Stove,Camping,Backup,6,0,6,16,29,140,2026-04-28,82.06,Active,system,2025-10-26
11,1571,CozyNights Sleeping Bag,Camping,WH_100,229,67,162,26,50,193,2026-04-29,109.65,Excess,system,2025-08-06
12,1511,Alpine Explorer Tent,Camping,WH_200,123,34,89,27,44,144,2026-04-29,321.96,Active,system,2026-01-28
13,1522,SummitClimber Backpack,Camping,WH_100,148,44,104,27,33,169,2026-04-29,163.1,Active,system,2025-07-31
14,1522,SummitClimber Backpack,Camping,Backup,36,0,36,27,33,169,2026-04-29,163.1,Active,system,2025-07-31
15,1532,TrailBlaze Hiking Pants,Camping,WH_100,95,10,85,11,13,96,2026-04-28,67.64,Active,system,2026-02-08
16,1542,TrailWalker Hiking Shoes,Camping,WH_100,130,33,97,20,28,197,2026-04-28,90.83,Active,system,2026-01-22
17,1552,TrekMaster Camping Chair,Camping,WH_200,229,31,198,36,59,261,2026-04-29,58.45,Active,system,2025-12-13
18,1562,PowerBurner Camping Stove,Camping,WH_100,1,0,1,24,37,132,2026-04-28,121.04,LowStock,system,2025-10-17
19,1572,MountainDream Sleeping Bag,Camping,WH_500,172,49,123,27,51,219,2026-04-28,222.59,Active,system,2026-03-03
20,1512,SkyView 2-Person Tent,Camping,WH_100,30,3,27,17,21,94,2026-04-28,219.21,Active,system,2026-02-17
