TransactionID,ProductID,ProductName,ProductCategory,WarehouseLocation,TransactionType,TransactionDate,Quantity,UnitCost,TotalValue,ReferenceNumber,ReasonCode,StockBefore,StockAfter,ProcessedBy,Notes,CreatedBy,CreatedDate
1,3041,Carbon Fiber Racing Poles - 120cm,Ski,Backup,Damage,2026-04-11 00:00:00,-5,111.19,-555.95,DMG-1,Warehouse Damage,26,21,warehouse2,Transaction processed for Backup location,system,2026-04-11 00:00:00
2,1521,Adventurer Pro Backpack,Camping,Main,Receipt,2026-02-14 00:00:00,171,117.23,20046.33,PO-4978,Purchase Order Receipt,41,212,warehouse1,Transaction processed for Main location,system,2026-02-14 00:00:00
3,1552,TrekMaster Camping Chair,Camping,Backup,Receipt,2026-01-23 00:00:00,134,55.68,7461.46,PO-8221,Purchase Order Receipt,56,190,system,Transaction processed for Backup location,system,2026-01-23 00:00:00
4,1553,Adventure Dining Table,Camping,Main,Sale,2026-02-03 00:00:00,-26,94.57,-2458.82,SO-36214,Customer Sale,15,-11,system,Transaction processed for Main location,system,2026-02-03 00:00:00
5,3042,Aluminum All-Mountain Poles - 115cm,Ski,Main,Sale,2025-12-09 00:00:00,-3,69.57,-208.71,SO-45378,Customer Sale,20,17,warehouse1,Transaction processed for Main location,system,2025-12-09 00:00:00
6,1522,SummitClimber Backpack,Camping,Main,Sale,2025-12-06 00:00:00,-25,135.31,-3382.75,SO-48100,Customer Sale,49,24,warehouse2,Transaction processed for Main location,system,2025-12-06 00:00:00
7,1541,TrekReady Hiking Boots,Camping,Main,Receipt,2026-01-02 00:00:00,190,124.51,23657.2,PO-3537,Purchase Order Receipt,113,303,system,Transaction processed for Main location,system,2026-01-02 00:00:00
8,2101,Measuring Cup Set,Kitchen,Main,Sale,2026-03-21 00:00:00,-37,13.31,-492.47,SO-97607,Customer Sale,35,-2,warehouse2,Transaction processed for Main location,system,2026-03-21 00:00:00
9,3041,Carbon Fiber Racing Poles - 120cm,Ski,Backup,Sale,2026-02-26 00:00:00,-39,111.19,-4336.41,SO-63072,Customer Sale,133,94,system,Transaction processed for Backup location,system,2026-02-26 00:00:00
10,1571,CozyNights Sleeping Bag,Camping,Main,Sale,2026-01-28 00:00:00,-6,121.45,-728.7,SO-26672,Customer Sale,87,81,warehouse1,Transaction processed for Main location,system,2026-01-28 00:00:00
11,2081,Food Storage Set,Kitchen,Main,Sale,2026-02-09 00:00:00,-34,25.51,-867.34,SO-80191,Customer Sale,75,41,warehouse1,Transaction processed for Main location,system,2026-02-09 00:00:00
12,1542,TrailWalker Hiking Shoes,Camping,Backup,Adjustment,2026-04-20 00:00:00,20,90.42,1808.4,ADJ-12,Physical Count,57,77,warehouse2,Transaction processed for Backup location,system,2026-04-20 00:00:00
