EventID,DisruptionType,EventName,Description,Severity,Status,StartDate,EndDate,GeographicArea,IndustryImpact,PredictedDuration,ActualDuration,AlertLevel,ReportedBy,CreatedBy,CreatedDate
1,Economic,Raw Material Shortage - 1,Global shortage of key manufacturing materials,Critical,Resolved,2025-12-31,2026-01-28,Global,Manufacturing,18,28.0,Yellow,Supply Chain Monitor,system,2025-12-31 00:00:00
2,Weather,Winter Storm Alpha - 2,Major winter storm affecting transportation networks,High,Resolved,2026-02-17,2026-02-24,Northwestern USA,Logistics,17,7.0,Red,Supply Chain Monitor,system,2026-02-17 00:00:00
3,Weather,Winter Storm Alpha - 3,Major winter storm affecting transportation networks,High,Resolved,2025-10-20,2025-11-03,Northwestern USA,Logistics,4,14.0,Red,Supply Chain Monitor,system,2025-10-20 00:00:00
4,Weather,Winter Storm Alpha - 4,Major winter storm affecting transportation networks,High,Resolved,2025-11-03,2025-11-22,Northwestern USA,Logistics,13,19.0,Red,Supply Chain Monitor,system,2025-11-03 00:00:00
5,Supplier,Factory Maintenance - 5,Scheduled maintenance at key supplier facility,Medium,Resolved,2025-11-23,2025-12-13,Regional,Manufacturing,15,20.0,Orange,Supply Chain Monitor,system,2025-11-23 00:00:00
6,Weather,Winter Storm Alpha - 6,Major winter storm affecting transportation networks,High,Resolved,2025-11-03,2025-12-01,Northwestern USA,Logistics,21,28.0,Yellow,Supply Chain Monitor,system,2025-11-03 00:00:00
7,Economic,Raw Material Shortage - 7,Global shortage of key manufacturing materials,Critical,Active,2026-01-27,,Global,Manufacturing,18,,Orange,Supply Chain Monitor,system,2026-01-27 00:00:00
8,Supplier,Factory Maintenance - 8,Scheduled maintenance at key supplier facility,Medium,Monitoring,2025-11-28,,Regional,Manufacturing,10,,Yellow,Supply Chain Monitor,system,2025-11-28 00:00:00
9,Weather,Winter Storm Alpha - 9,Major winter storm affecting transportation networks,High,Monitoring,2026-03-26,,Northwestern USA,Logistics,13,,Yellow,Supply Chain Monitor,system,2026-03-26 00:00:00
10,Weather,Winter Storm Alpha - 10,Major winter storm affecting transportation networks,High,Resolved,2025-12-18,2026-01-02,Northwestern USA,Logistics,21,15.0,Red,Supply Chain Monitor,system,2025-12-18 00:00:00
11,Supplier,Factory Maintenance - 11,Scheduled maintenance at key supplier facility,Medium,Monitoring,2026-01-06,,Regional,Manufacturing,9,,Red,Supply Chain Monitor,system,2026-01-06 00:00:00
12,Supplier,Factory Maintenance - 12,Scheduled maintenance at key supplier facility,Medium,Resolved,2025-11-14,2025-11-28,Regional,Manufacturing,11,14.0,Orange,Supply Chain Monitor,system,2025-11-14 00:00:00
13,Supplier,Factory Maintenance - 13,Scheduled maintenance at key supplier facility,Medium,Resolved,2026-01-21,2026-01-30,Regional,Manufacturing,12,9.0,Orange,Supply Chain Monitor,system,2026-01-21 00:00:00
14,Weather,Winter Storm Alpha - 14,Major winter storm affecting transportation networks,High,Resolved,2026-01-19,2026-01-24,Northwestern USA,Logistics,8,5.0,Orange,Supply Chain Monitor,system,2026-01-19 00:00:00
15,Economic,Raw Material Shortage - 15,Global shortage of key manufacturing materials,Critical,Resolved,2025-10-24,2025-11-10,Global,Manufacturing,20,17.0,Red,Supply Chain Monitor,system,2025-10-24 00:00:00
