InventoryID,ProductID,ProductName,ProductCategory,WarehouseLocation,CurrentStock,ReservedStock,AvailableStock,SafetyStockLevel,ReorderPoint,MaxStockLevel,LastUpdated,AverageCost,Status,CreatedBy,CreatedDate
1,1521,Adventurer Pro Backpack,Camping,Backup,183,50,133,33,62,220,2026-04-28 20:00:00,130.33,Active,system,2025-02-09 00:00:00
2,1531,Summit Breeze Jacket,Camping,Regional,97,17,80,26,45,124,2026-04-29 17:00:00,102.35,Active,system,2025-11-04 00:00:00
3,1541,TrekReady Hiking Boots,Camping,Main,121,33,88,23,40,134,2026-04-28 16:00:00,130.33,Active,system,2025-04-03 00:00:00
4,1551,BaseCamp Folding Table,Camping,Main,28,7,21,11,19,87,2026-04-28 19:00:00,66.43,Active,system,2026-03-27 00:00:00
5,1561,EcoFire Camping Stove,Camping,Regional,17,4,13,18,22,140,2026-04-28 05:00:00,76.16,LowStock,system,2025-08-22 00:00:00
6,1561,EcoFire Camping Stove,Camping,Backup,7,0,7,18,22,140,2026-04-28 05:00:00,76.16,Active,system,2025-08-22 00:00:00
7,1571,CozyNights Sleeping Bag,Camping,Main,46,10,36,11,15,45,2026-04-28 00:00:00,102.95,Excess,system,2025-02-12 00:00:00
8,1511,Alpine Explorer Tent,Camping,Main,59,6,53,9,11,51,2026-04-28 17:00:00,324.35,Excess,system,2026-01-25 00:00:00
9,1522,SummitClimber Backpack,Camping,Main,81,11,70,9,17,77,2026-04-28 06:00:00,180.95,Excess,system,2025-10-10 00:00:00
10,1532,TrailBlaze Hiking Pants,Camping,Backup,5,1,4,10,14,58,2026-04-28 06:00:00,67.66,LowStock,system,2025-05-29 00:00:00
11,1542,TrailWalker Hiking Shoes,Camping,Backup,7,1,6,11,21,54,2026-04-28 18:00:00,88.16,LowStock,system,2025-03-24 00:00:00
12,1552,TrekMaster Camping Chair,Camping,Main,6,1,5,29,43,195,2026-04-29 03:00:00,57.76,LowStock,system,2025-06-02 00:00:00
13,1552,TrekMaster Camping Chair,Camping,Backup,2,0,2,29,43,195,2026-04-29 03:00:00,57.76,Active,system,2025-06-02 00:00:00
