EventID,DisruptionType,EventName,Description,Severity,Status,StartDate,EndDate,GeographicArea,IndustryImpact,PredictedDuration,ActualDuration,AlertLevel,ReportedBy,CreatedBy,CreatedDate
1,Supplier,Factory Maintenance - 1,Scheduled maintenance at key supplier facility,Medium,Active,2025-12-12,,Regional,Manufacturing,14,,Yellow,Supply Chain Monitor,system,2025-12-12 16:57:33
2,Economic,Raw Material Shortage - 2,Global shortage of key manufacturing materials,Critical,Resolved,2026-02-10,2026-02-15,Global,Manufacturing,17,5.0,Red,Supply Chain Monitor,system,2026-02-10 16:57:33
3,Weather,Winter Storm Alpha - 3,Major winter storm affecting transportation networks,High,Resolved,2025-12-14,2025-12-24,Northwestern USA,Logistics,19,10.0,Orange,Supply Chain Monitor,system,2025-12-14 16:57:33
4,Supplier,Factory Maintenance - 4,Scheduled maintenance at key supplier facility,Medium,Monitoring,2026-02-25,,Regional,Manufacturing,11,,Orange,Supply Chain Monitor,system,2026-02-25 16:57:33
5,Supplier,Factory Maintenance - 5,Scheduled maintenance at key supplier facility,Medium,Resolved,2026-01-18,2026-02-05,Regional,Manufacturing,12,18.0,Orange,Supply Chain Monitor,system,2026-01-18 16:57:33
6,Supplier,Factory Maintenance - 6,Scheduled maintenance at key supplier facility,Medium,Active,2026-01-09,,Regional,Manufacturing,4,,Red,Supply Chain Monitor,system,2026-01-09 16:57:33
7,Supplier,Factory Maintenance - 7,Scheduled maintenance at key supplier facility,Medium,Monitoring,2025-12-15,,Regional,Manufacturing,4,,Red,Supply Chain Monitor,system,2025-12-15 16:57:33
8,Supplier,Factory Maintenance - 8,Scheduled maintenance at key supplier facility,Medium,Resolved,2026-01-24,2026-02-18,Regional,Manufacturing,20,25.0,Orange,Supply Chain Monitor,system,2026-01-24 16:57:33
9,Weather,Winter Storm Alpha - 9,Major winter storm affecting transportation networks,High,Resolved,2025-12-24,2025-12-29,Northwestern USA,Logistics,13,5.0,Orange,Supply Chain Monitor,system,2025-12-24 16:57:33
10,Economic,Raw Material Shortage - 10,Global shortage of key manufacturing materials,Critical,Resolved,2026-02-28,2026-03-26,Global,Manufacturing,18,26.0,Red,Supply Chain Monitor,system,2026-02-28 16:57:33
11,Weather,Winter Storm Alpha - 11,Major winter storm affecting transportation networks,High,Resolved,2025-12-30,2026-01-03,Northwestern USA,Logistics,9,4.0,Red,Supply Chain Monitor,system,2025-12-30 16:57:33
12,Economic,Raw Material Shortage - 12,Global shortage of key manufacturing materials,Critical,Resolved,2026-01-05,2026-02-02,Global,Manufacturing,9,28.0,Red,Supply Chain Monitor,system,2026-01-05 16:57:33
13,Supplier,Factory Maintenance - 13,Scheduled maintenance at key supplier facility,Medium,Active,2026-01-02,,Regional,Manufacturing,5,,Red,Supply Chain Monitor,system,2026-01-02 16:57:33
14,Weather,Winter Storm Alpha - 14,Major winter storm affecting transportation networks,High,Resolved,2025-12-10,2025-12-22,Northwestern USA,Logistics,18,12.0,Red,Supply Chain Monitor,system,2025-12-10 16:57:33
15,Economic,Raw Material Shortage - 15,Global shortage of key manufacturing materials,Critical,Resolved,2026-01-31,2026-02-02,Global,Manufacturing,14,2.0,Orange,Supply Chain Monitor,system,2026-01-31 16:57:33
