TransactionID,ProductID,ProductName,ProductCategory,WarehouseLocation,TransactionType,TransactionDate,Quantity,UnitCost,TotalValue,ReferenceNumber,ReasonCode,StockBefore,StockAfter,ProcessedBy,Notes,CreatedBy,CreatedDate
1,3072,Hand Warmers - 10 Pack,Ski,Main,Sale,2025-08-24 00:00:00,-29,9.48,-274.92,SO-61539,Customer Sale,132,103,warehouse1,Transaction processed for Main location,system,2025-08-24 00:00:00
2,1512,SkyView 2-Person Tent,Camping,Backup,Receipt,2026-01-21 00:00:00,186,226.61,42149.06,PO-8447,Purchase Order Receipt,80,266,warehouse2,Transaction processed for Backup location,system,2026-01-21 00:00:00
3,1561,EcoFire Camping Stove,Camping,Regional,Damage,2025-05-23 00:00:00,-4,76.16,-304.64,DMG-3,Quality Issue,6,2,warehouse2,Transaction processed for Regional location,system,2025-05-23 00:00:00
4,2091,Spatula,Kitchen,Main,Damage,2025-07-09 00:00:00,-10,10.11,-101.1,DMG-4,Warehouse Damage,84,74,warehouse1,Transaction processed for Main location,system,2025-07-09 00:00:00
5,3081,All-Temp Ski Wax Kit,Ski,Backup,Damage,2025-04-19 00:00:00,-5,59.05,-295.25,DMG-5,Shipping Damage,14,9,system,Transaction processed for Backup location,system,2025-04-19 00:00:00
6,2101,Measuring Cup Set,Kitchen,Main,Sale,2025-01-02 00:00:00,-30,14.7,-441.0,SO-77594,Customer Sale,206,176,warehouse1,Transaction processed for Main location,system,2025-01-02 00:00:00
7,2121,Bamboo Cutting Board Set,Kitchen,Main,Sale,2025-07-12 00:00:00,-12,36.68,-440.16,SO-42271,Customer Sale,122,110,warehouse1,Transaction processed for Main location,system,2025-07-12 00:00:00
8,1531,Summit Breeze Jacket,Camping,Regional,Transfer,2025-10-02 00:00:00,-25,102.35,-2558.75,TRF-4091,Warehouse Transfer,42,17,warehouse1,Transaction processed for Regional location,system,2025-10-02 00:00:00
9,3103,Snowboard Bindings - Pro,Ski,Backup,Sale,2025-09-01 00:00:00,-33,180.51,-5956.83,SO-33466,Customer Sale,23,-10,system,Transaction processed for Backup location,system,2025-09-01 00:00:00
10,1551,BaseCamp Folding Table,Camping,Main,Receipt,2025-09-10 00:00:00,17,63.92,1086.7,PO-3993,Purchase Order Receipt,38,55,system,Transaction processed for Main location,system,2025-09-10 00:00:00
11,1572,MountainDream Sleeping Bag,Camping,Main,Sale,2025-02-02 00:00:00,-32,213.98,-6847.36,SO-40977,Customer Sale,89,57,system,Transaction processed for Main location,system,2025-02-02 00:00:00
12,3032,Comfort Fit Recreational Boots,Ski,Main,Sale,2025-08-07 00:00:00,-13,247.7,-3220.1,SO-29319,Customer Sale,0,-13,system,Transaction processed for Main location,system,2025-08-07 00:00:00
13,3021,Nordic Classic XC Skis - 185cm,Ski,Main,Sale,2025-04-07 00:00:00,-17,220.13,-3742.21,SO-51629,Customer Sale,119,102,warehouse1,Transaction processed for Main location,system,2025-04-07 00:00:00
14,3041,Carbon Fiber Racing Poles - 120cm,Ski,Main,Sale,2025-07-29 00:00:00,-7,143.41,-1003.87,SO-76538,Customer Sale,228,221,warehouse1,Transaction processed for Main location,system,2025-07-29 00:00:00
15,2012,Espresso Machine,Kitchen,Main,Receipt,2025-07-27 00:00:00,38,286.01,10868.41,PO-1641,Purchase Order Receipt,132,170,warehouse2,Transaction processed for Main location,system,2025-07-27 00:00:00
16,1541,TrekReady Hiking Boots,Camping,Main,Adjustment,2025-10-24 00:00:00,3,130.33,390.99,ADJ-16,System Correction,153,156,warehouse2,Transaction processed for Main location,system,2025-10-24 00:00:00
