ProductSupplierID,ProductID,ProductName,ProductCategory,SupplierID,SupplierName,SupplierProductCode,WholesaleCost,MinOrderQuantity,MaxOrderQuantity,LeadTimeDays,Status,CreatedBy,CreatedDate
1,1521,Adventurer Pro Backpack,Camping,1,Contoso Ltd,CON-1521,122.8,5,10000.0,13,Active,system,2025-12-21
2,1531,Summit Breeze Jacket,Camping,1,Contoso Ltd,CON-1531,91.09,1,10000.0,10,Active,system,2025-11-17
3,1541,TrekReady Hiking Boots,Camping,1,Contoso Ltd,CON-1541,127.43,5,1000.0,11,Active,system,2025-11-25
4,1541,TrekReady Hiking Boots,Camping,4,Worldwide Importers,WOR-1541,137.75,1,2000.0,26,Active,system,2025-11-26
5,1551,BaseCamp Folding Table,Camping,1,Contoso Ltd,CON-1551,67.04,50,10000.0,12,Active,system,2026-03-22
6,1561,EcoFire Camping Stove,Camping,1,Contoso Ltd,CON-1561,82.06,25,5000.0,13,Active,system,2026-01-13
7,1571,CozyNights Sleeping Bag,Camping,1,Contoso Ltd,CON-1571,109.65,50,5000.0,8,Active,system,2026-02-11
8,1511,Alpine Explorer Tent,Camping,1,Contoso Ltd,CON-1511,283.37,10,10000.0,8,Active,system,2026-01-25
9,1511,Alpine Explorer Tent,Camping,4,Worldwide Importers,WOR-1511,360.55,10,500.0,20,Active,system,2026-01-23
10,1522,SummitClimber Backpack,Camping,1,Contoso Ltd,CON-1522,163.1,10,1000.0,7,Active,system,2026-01-24
11,1532,TrailBlaze Hiking Pants,Camping,1,Contoso Ltd,CON-1532,67.64,5,,10,Active,system,2025-12-22
12,1542,TrailWalker Hiking Shoes,Camping,1,Contoso Ltd,CON-1542,90.83,1,10000.0,9,Active,system,2025-12-26
13,1552,TrekMaster Camping Chair,Camping,1,Contoso Ltd,CON-1552,58.45,5,1000.0,10,Active,system,2026-02-03
14,1562,PowerBurner Camping Stove,Camping,1,Contoso Ltd,CON-1562,121.04,25,1000.0,7,Active,system,2026-03-26
15,1572,MountainDream Sleeping Bag,Camping,1,Contoso Ltd,CON-1572,222.59,1,10000.0,8,Active,system,2025-11-14
16,1512,SkyView 2-Person Tent,Camping,1,Contoso Ltd,CON-1512,219.21,25,,7,Active,system,2026-01-09
17,1523,TrailLite Daypack,Camping,1,Contoso Ltd,CON-1523,54.46,10,10000.0,11,Active,system,2026-02-17
18,1533,RainGuard Hiking Jacket,Camping,1,Contoso Ltd,CON-1533,107.2,10,,8,Active,system,2025-11-05
19,1543,TrekStar Hiking Sandals,Camping,1,Contoso Ltd,CON-1543,65.36,5,1000.0,12,Active,system,2025-12-14
