PurchaseOrderItemID,PurchaseOrderID,PurchaseOrderNumber,ProductID,ProductName,ProductCategory,QuantityOrdered,QuantityReceived,UnitCost,LineTotal,Status,ExpectedDate,ReceivedDate,Notes,CreatedBy,CreatedDate
1,1,PO-2026-0001,3053,Waterproof Ski Pants,Ski,2,2.0,159.63,319.26,Received,2026-04-22,2026-04-24,Supplier SKU: ALP-3053,system,2026-04-09 00:00:00
2,1,PO-2026-0001,3032,Comfort Fit Recreational Boots,Ski,23,23.0,297.79,6849.17,Received,2026-04-22,2026-04-24,Supplier SKU: ALP-3032,system,2026-04-09 00:00:00
3,2,PO-2026-0002,1552,TrekMaster Camping Chair,Camping,3,2.0,57.01,171.03,Backordered,2026-03-09,2026-03-11,Supplier SKU: WOR-1552,system,2026-02-14 00:00:00
4,2,PO-2026-0002,3082,Edge Tuning Tool Set,Ski,117,117.0,95.56,11180.52,Received,2026-03-09,2026-03-11,Supplier SKU: WOR-3082,system,2026-02-14 00:00:00
5,2,PO-2026-0002,3091,Freestyle Snowboard - 155cm,Ski,41,41.0,531.14,21776.74,Received,2026-03-09,2026-03-11,Supplier SKU: WOR-3091,system,2026-02-14 00:00:00
6,2,PO-2026-0002,3021,Nordic Classic XC Skis - 185cm,Ski,226,226.0,251.16,56762.16,Received,2026-03-09,2026-03-11,Supplier SKU: WOR-3021,system,2026-02-14 00:00:00
7,2,PO-2026-0002,2071,Baking Pan,Kitchen,239,239.0,24.48,5850.72,Received,2026-03-09,2026-03-11,Supplier SKU: WOR-2071,system,2026-02-14 00:00:00
8,3,PO-2026-0003,1542,TrailWalker Hiking Shoes,Camping,83,83.0,90.42,7504.86,Received,2026-04-24,2026-04-26,Supplier SKU: CON-1542,system,2026-04-15 00:00:00
9,3,PO-2026-0003,1531,Summit Breeze Jacket,Camping,44,44.0,109.85,4833.4,Received,2026-04-24,2026-04-26,Supplier SKU: CON-1531,system,2026-04-15 00:00:00
10,4,PO-2026-0004,1552,TrekMaster Camping Chair,Camping,2,2.0,57.01,114.02,Received,2026-03-21,2026-03-24,Supplier SKU: WOR-1552,system,2026-03-02 00:00:00
11,5,PO-2026-0005,1543,TrekStar Hiking Sandals,Camping,17,17.0,68.46,1163.82,Received,2026-03-14,2026-03-17,Supplier SKU: CON-1543,system,2026-03-01 00:00:00
12,5,PO-2026-0005,1562,PowerBurner Camping Stove,Camping,145,126.0,144.87,21006.15,Backordered,2026-03-14,2026-03-17,Supplier SKU: CON-1562,system,2026-03-01 00:00:00
13,6,PO-2026-0006,2091,Spatula,Kitchen,3,,8.1,24.3,Pending,2026-05-07,,Supplier SKU: PRO-2091,system,2026-04-26 00:00:00
14,6,PO-2026-0006,2112,4-Slice Toaster,Kitchen,83,,69.62,5778.46,Pending,2026-05-07,,Supplier SKU: PRO-2112,system,2026-04-26 00:00:00
15,6,PO-2026-0006,2081,Food Storage Set,Kitchen,45,,25.51,1147.95,Pending,2026-05-07,,Supplier SKU: PRO-2081,system,2026-04-26 00:00:00
16,6,PO-2026-0006,2031,Coffee Mug,Kitchen,31,,23.14,717.34,Pending,2026-05-07,,Supplier SKU: PRO-2031,system,2026-04-26 00:00:00
17,6,PO-2026-0006,2022,Fork Set,Kitchen,12,,32.43,389.16,Pending,2026-05-07,,Supplier SKU: PRO-2022,system,2026-04-26 00:00:00
18,7,PO-2026-0007,3101,Winter Boots - Insulated,Ski,26,26.0,134.25,3490.5,Received,2026-02-28,2026-03-01,Supplier SKU: FAB-3101,system,2026-02-11 00:00:00
19,8,PO-2026-0008,3101,Winter Boots - Insulated,Ski,111,111.0,134.25,14901.75,Received,2026-03-10,2026-03-12,Supplier SKU: FAB-3101,system,2026-02-24 00:00:00
20,8,PO-2026-0008,3032,Comfort Fit Recreational Boots,Ski,63,63.0,315.01,19845.63,Received,2026-03-10,2026-03-12,Supplier SKU: FAB-3032,system,2026-02-24 00:00:00
21,8,PO-2026-0008,3051,Insulated Ski Jacket - Men's,Ski,71,71.0,225.91,16039.61,Received,2026-03-10,2026-03-12,Supplier SKU: FAB-3051,system,2026-02-24 00:00:00
22,9,PO-2026-0009,2101,Measuring Cup Set,Kitchen,250,250.0,13.31,3327.5,Received,2026-03-03,2026-03-06,Supplier SKU: PRO-2101,system,2026-02-16 00:00:00
23,9,PO-2026-0009,2031,Coffee Mug,Kitchen,42,42.0,23.14,971.88,Received,2026-03-03,2026-03-06,Supplier SKU: PRO-2031,system,2026-02-16 00:00:00
24,10,PO-2026-0010,1523,TrailLite Daypack,Camping,43,33.0,59.86,2573.98,Backordered,2026-04-16,2026-04-16,Supplier SKU: CON-1523,system,2026-04-04 00:00:00
25,10,PO-2026-0010,1543,TrekStar Hiking Sandals,Camping,17,17.0,68.46,1163.82,Received,2026-04-16,2026-04-16,Supplier SKU: CON-1543,system,2026-04-04 00:00:00
26,11,PO-2026-0011,1511,Alpine Explorer Tent,Camping,110,110.0,334.12,36753.2,Received,2026-04-02,2026-04-03,Supplier SKU: CON-1511,system,2026-03-24 00:00:00
27,11,PO-2026-0011,1561,EcoFire Camping Stove,Camping,22,22.0,99.22,2182.84,Received,2026-04-02,2026-04-03,Supplier SKU: CON-1561,system,2026-03-24 00:00:00
28,12,PO-2026-0012,3032,Comfort Fit Recreational Boots,Ski,91,82.0,315.01,28665.91,Backordered,2026-03-28,2026-03-31,Supplier SKU: FAB-3032,system,2026-03-14 00:00:00
29,12,PO-2026-0012,3101,Winter Boots - Insulated,Ski,92,92.0,134.25,12351.0,Received,2026-03-28,2026-03-31,Supplier SKU: FAB-3101,system,2026-03-14 00:00:00
30,12,PO-2026-0012,3051,Insulated Ski Jacket - Men's,Ski,57,57.0,225.91,12876.87,Received,2026-03-28,2026-03-31,Supplier SKU: FAB-3051,system,2026-03-14 00:00:00
31,13,PO-2026-0013,1533,RainGuard Hiking Jacket,Camping,116,116.0,126.41,14663.56,Received,2026-03-18,2026-03-20,Supplier SKU: CON-1533,system,2026-03-09 00:00:00
32,13,PO-2026-0013,1581,LED Headlamp - Rechargeable,Camping,175,175.0,47.08,8239.0,Received,2026-03-18,2026-03-20,Supplier SKU: CON-1581,system,2026-03-09 00:00:00
33,14,PO-2026-0014,3082,Edge Tuning Tool Set,Ski,32,32.0,95.56,3057.92,Received,2026-04-16,2026-04-18,Supplier SKU: WOR-3082,system,2026-03-25 00:00:00
34,15,PO-2026-0015,1581,LED Headlamp - Rechargeable,Camping,245,245.0,47.08,11534.6,Received,2026-03-05,2026-03-05,Supplier SKU: CON-1581,system,2026-02-22 00:00:00
35,15,PO-2026-0015,1541,TrekReady Hiking Boots,Camping,4,4.0,128.34,513.36,Received,2026-03-05,2026-03-05,Supplier SKU: CON-1541,system,2026-02-22 00:00:00
36,16,PO-2026-0016,1521,Adventurer Pro Backpack,Camping,42,42.0,115.2,4838.4,Received,2026-04-22,2026-04-23,Supplier SKU: CON-1521,system,2026-04-12 00:00:00
37,16,PO-2026-0016,1531,Summit Breeze Jacket,Camping,18,18.0,109.85,1977.3,Received,2026-04-22,2026-04-23,Supplier SKU: CON-1531,system,2026-04-12 00:00:00
38,16,PO-2026-0016,1563,CompactCook Camping Stove,Camping,95,95.0,71.71,6812.45,Received,2026-04-22,2026-04-23,Supplier SKU: CON-1563,system,2026-04-12 00:00:00
39,17,PO-2026-0017,3022,Backcountry Explorer XC Skis - 190cm,Ski,24,24.0,413.79,9930.96,Received,2026-03-07,2026-03-10,Supplier SKU: ALP-3022,system,2026-02-23 00:00:00
40,17,PO-2026-0017,3072,Hand Warmers - 10 Pack,Ski,43,43.0,9.14,393.02,Received,2026-03-07,2026-03-10,Supplier SKU: ALP-3072,system,2026-02-23 00:00:00
41,17,PO-2026-0017,3031,Pro Flex Racing Ski Boots,Ski,40,40.0,435.5,17420.0,Received,2026-03-07,2026-03-10,Supplier SKU: ALP-3031,system,2026-02-23 00:00:00
42,17,PO-2026-0017,3013,Beginner's Choice Alpine Skis - 160cm,Ski,36,36.0,309.36,11136.96,Received,2026-03-07,2026-03-10,Supplier SKU: ALP-3013,system,2026-02-23 00:00:00
43,18,PO-2026-0018,2012,Espresso Machine,Kitchen,47,,292.82,13762.54,Shipped,2026-05-05,,Supplier SKU: PRO-2012,system,2026-04-25 00:00:00
44,18,PO-2026-0018,2081,Food Storage Set,Kitchen,18,,25.51,459.18,Shipped,2026-05-05,,Supplier SKU: PRO-2081,system,2026-04-25 00:00:00
45,18,PO-2026-0018,2071,Baking Pan,Kitchen,24,,19.91,477.84,Shipped,2026-05-05,,Supplier SKU: PRO-2071,system,2026-04-25 00:00:00
46,18,PO-2026-0018,2112,4-Slice Toaster,Kitchen,50,,69.62,3481.0,Shipped,2026-05-05,,Supplier SKU: PRO-2112,system,2026-04-25 00:00:00
47,18,PO-2026-0018,2041,Serving Platter,Kitchen,213,,44.77,9536.01,Shipped,2026-05-05,,Supplier SKU: PRO-2041,system,2026-04-25 00:00:00
48,19,PO-2026-0019,3051,Insulated Ski Jacket - Men's,Ski,36,36.0,225.91,8132.76,Received,2026-03-15,2026-03-17,Supplier SKU: FAB-3051,system,2026-03-01 00:00:00
49,19,PO-2026-0019,3101,Winter Boots - Insulated,Ski,59,59.0,134.25,7920.75,Received,2026-03-15,2026-03-17,Supplier SKU: FAB-3101,system,2026-03-01 00:00:00
50,19,PO-2026-0019,3032,Comfort Fit Recreational Boots,Ski,106,106.0,315.01,33391.06,Received,2026-03-15,2026-03-17,Supplier SKU: FAB-3032,system,2026-03-01 00:00:00
51,20,PO-2026-0020,3042,Aluminum All-Mountain Poles - 115cm,Ski,91,91.0,69.57,6330.87,Received,2026-02-24,2026-02-24,Supplier SKU: ALP-3042,system,2026-02-09 00:00:00
52,20,PO-2026-0020,3091,Freestyle Snowboard - 155cm,Ski,120,120.0,392.32,47078.4,Received,2026-02-24,2026-02-24,Supplier SKU: ALP-3091,system,2026-02-09 00:00:00
53,20,PO-2026-0020,3011,Alpine Pro Racing Skis - 170cm,Ski,5,5.0,1017.98,5089.9,Received,2026-02-24,2026-02-24,Supplier SKU: ALP-3011,system,2026-02-09 00:00:00
54,20,PO-2026-0020,3051,Insulated Ski Jacket - Men's,Ski,173,173.0,232.87,40286.51,Received,2026-02-24,2026-02-24,Supplier SKU: ALP-3051,system,2026-02-09 00:00:00
55,20,PO-2026-0020,3092,All-Mountain Snowboard - 158cm,Ski,21,21.0,602.17,12645.57,Received,2026-02-24,2026-02-24,Supplier SKU: ALP-3092,system,2026-02-09 00:00:00
56,21,PO-2026-0021,3021,Nordic Classic XC Skis - 185cm,Ski,249,249.0,251.16,62538.84,Received,2026-03-23,2026-03-23,Supplier SKU: WOR-3021,system,2026-03-03 00:00:00
57,21,PO-2026-0021,2071,Baking Pan,Kitchen,63,63.0,24.48,1542.24,Received,2026-03-23,2026-03-23,Supplier SKU: WOR-2071,system,2026-03-03 00:00:00
58,21,PO-2026-0021,1552,TrekMaster Camping Chair,Camping,2,2.0,57.01,114.02,Received,2026-03-23,2026-03-23,Supplier SKU: WOR-1552,system,2026-03-03 00:00:00
59,21,PO-2026-0021,3091,Freestyle Snowboard - 155cm,Ski,33,33.0,531.14,17527.62,Received,2026-03-23,2026-03-23,Supplier SKU: WOR-3091,system,2026-03-03 00:00:00
60,21,PO-2026-0021,3082,Edge Tuning Tool Set,Ski,49,49.0,95.56,4682.44,Received,2026-03-23,2026-03-23,Supplier SKU: WOR-3082,system,2026-03-03 00:00:00
