PurchaseOrderItemID,PurchaseOrderID,PurchaseOrderNumber,ProductID,ProductName,ProductCategory,QuantityOrdered,QuantityReceived,UnitCost,LineTotal,Status,ExpectedDate,ReceivedDate,Notes,CreatedBy,CreatedDate
1,1,PO-2026-0001,1581,LED Headlamp - Rechargeable,Camping,2,1.0,48.56,97.12,Backordered,2026-03-29,2026-03-31,Supplier SKU: CON-1581,system,2026-03-19
2,2,PO-2026-0002,3011,Alpine Pro Racing Skis - 170cm,Ski,25,,910.08,22752.0,Shipped,2026-05-08,,Supplier SKU: FAB-3011,system,2026-04-21
3,2,PO-2026-0002,3053,Waterproof Ski Pants,Ski,106,,211.38,22406.28,Shipped,2026-05-08,,Supplier SKU: FAB-3053,system,2026-04-21
4,2,PO-2026-0002,3062,Anti-Fog Ski Goggles,Ski,29,,94.79,2748.91,Shipped,2026-05-08,,Supplier SKU: FAB-3062,system,2026-04-21
5,2,PO-2026-0002,3072,Hand Warmers - 10 Pack,Ski,236,,11.41,2692.76,Shipped,2026-05-08,,Supplier SKU: FAB-3072,system,2026-04-21
6,3,PO-2026-0003,3053,Waterproof Ski Pants,Ski,31,31.0,174.26,5402.06,Received,2026-04-14,2026-04-14,Supplier SKU: WOR-3053,system,2026-03-23
7,3,PO-2026-0003,3101,Winter Boots - Insulated,Ski,122,122.0,132.32,16143.04,Received,2026-04-14,2026-04-14,Supplier SKU: WOR-3101,system,2026-03-23
8,3,PO-2026-0003,2011,Coffee Maker,Kitchen,98,98.0,130.73,12811.54,Received,2026-04-14,2026-04-14,Supplier SKU: WOR-2011,system,2026-03-23
9,4,PO-2026-0004,3091,Freestyle Snowboard - 155cm,Ski,13,,456.94,5940.22,Pending,2026-05-08,,Supplier SKU: ALP-3091,system,2026-04-22
10,4,PO-2026-0004,3012,Mountain Master All-Terrain Skis - 165cm,Ski,142,,597.44,84836.48,Pending,2026-05-08,,Supplier SKU: ALP-3012,system,2026-04-22
11,5,PO-2026-0005,2011,Coffee Maker,Kitchen,25,22.0,118.56,2964.0,Backordered,2026-02-09,2026-02-09,Supplier SKU: PRO-2011,system,2026-01-30
12,5,PO-2026-0005,2121,Bamboo Cutting Board Set,Kitchen,5,5.0,30.0,150.0,Received,2026-02-09,2026-02-09,Supplier SKU: PRO-2121,system,2026-01-30
13,5,PO-2026-0005,2111,High-Speed Blender,Kitchen,3,3.0,123.0,369.0,Received,2026-02-09,2026-02-09,Supplier SKU: PRO-2111,system,2026-01-30
14,5,PO-2026-0005,2012,Espresso Machine,Kitchen,27,27.0,312.61,8440.47,Received,2026-02-09,2026-02-09,Supplier SKU: PRO-2012,system,2026-01-30
15,6,PO-2026-0006,2111,High-Speed Blender,Kitchen,89,89.0,162.2,14435.8,Received,2026-04-02,2026-04-04,Supplier SKU: WOR-2111,system,2026-03-12
16,6,PO-2026-0006,3053,Waterproof Ski Pants,Ski,38,38.0,174.26,6621.88,Received,2026-04-02,2026-04-04,Supplier SKU: WOR-3053,system,2026-03-12
17,6,PO-2026-0006,3012,Mountain Master All-Terrain Skis - 165cm,Ski,29,21.0,676.38,19615.02,Backordered,2026-04-02,2026-04-04,Supplier SKU: WOR-3012,system,2026-03-12
18,7,PO-2026-0007,3103,Snowboard Bindings - Pro,Ski,25,25.0,180.33,4508.25,Received,2026-02-28,2026-03-02,Supplier SKU: ALP-3103,system,2026-02-17
19,7,PO-2026-0007,3061,Professional Ski Helmet,Ski,21,21.0,151.7,3185.7,Received,2026-02-28,2026-03-02,Supplier SKU: ALP-3061,system,2026-02-17
20,8,PO-2026-0008,1541,TrekReady Hiking Boots,Camping,1,,137.75,137.75,Shipped,2026-04-30,,Supplier SKU: WOR-1541,system,2026-04-11
21,8,PO-2026-0008,3053,Waterproof Ski Pants,Ski,85,,174.26,14812.1,Shipped,2026-04-30,,Supplier SKU: WOR-3053,system,2026-04-11
